#,PLAYER,
1,Michael Jordan,
2,LeBron James,
3,Kareem Abdul-Jabbar,
4,Bill Russell,
5,Magic Johnson,
6,Wilt Chamberlain,
7,Larry Bird,
8,Shaquille O’Neal,
9,Tim Duncan,
10,Kobe Bryant,
